filename,card_name,card_name_ko,arcana,number,upright_meaning,reversed_meaning,keywords_ko
00_the_fool.jpg,The Fool,바보,Major,0,새로운 시작 모험 순수함 자유로운 정신 잠재력,무모함 경솔함 위험 무질서,"시작,자유,순진"
01_the_magician.jpg,The Magician,마법사,Major,1,의지력 기술 집중력 창의성 자원 활용,조작 속임수 의지력 부족 재능 낭비,"능력,의지,창조"
02_the_high_priestess.jpg,The High Priestess,여사제,Major,2,직관 신비 내면의 지식 잠재의식 지혜,비밀 정보 차단 직관 무시 내면 갈등,"직관,신비,지혜"
03_the_empress.jpg,The Empress,여황제,Major,3,풍요 모성 자연 창의성 번영 감각적 즐거움,의존 질식 창의성 차단 풍요의 부재,"풍요,모성,자연"
04_the_emperor.jpg,The Emperor,황제,Major,4,권위 안정성 구조 규율 리더십 통제,지배 경직 과도한 통제 독재,"권위,질서,리더십"
05_the_hierophant.jpg,The Hierophant,교황,Major,5,전통 관습 도덕 종교 사회규범 가르침,반항 비관습적 새로운 접근 제한,"전통,신념,가르침"
06_the_lovers.jpg,The Lovers,연인,Major,6,사랑 조화 가치관 선택 관계 동반자,불일치 가치관 충돌 잘못된 선택 단절,"사랑,선택,관계"
07_the_chariot.jpg,The Chariot,전차,Major,7,승리 의지력 결단력 통제 성공 모험,통제 상실 방향 없음 공격성 장애물,"승리,통제,전진"
08_strength.jpg,Strength,힘,Major,8,용기 인내 영향력 온화한 힘 자기 통제,자기 의심 에너지 부족 의존 내면 공포,"용기,인내,온화"
09_the_hermit.jpg,The Hermit,은둔자,Major,9,영혼 탐구 내면 지침 고독 자성 안내,고립 외로움 세상과의 단절 후퇴,"탐구,고독,지혜"
10_wheel_of_fortune.jpg,Wheel of Fortune,운명의 수레바퀴,Major,10,행운 업보 삶의 전환점 운명 전환,불운 저항 외부 세력 통제 불가,"운명,전환,기회"
11_justice.jpg,Justice,정의,Major,11,공정성 진실 원인과 결과 법 균형,불공정 부정직 책임 회피 불균형,"공정,진실,균형"
12_the_hanged_man.jpg,The Hanged Man,매달린 남자,Major,12,일시 정지 항복 새로운 관점 깨달음 희생,지연 저항 불필요한 희생 고착,"관점,희생,기다림"
13_death.jpg,Death,죽음,Major,13,변화 전환 끝과 시작 변형 새로운 국면,저항 변화 두려움 정체 부패,"변화,전환,새시작"
14_temperance.jpg,Temperance,절제,Major,14,균형 중용 인내 목적의식 흐름 조화,불균형 극단 과잉 자제력 부족,"균형,조화,절제"
15_the_devil.jpg,The Devil,악마,Major,15,속박 물질주의 그림자 자아 중독 의존,속박에서 해방 자유 독립 힘 회복,"속박,집착,해방"
16_the_tower.jpg,The Tower,탑,Major,16,급격한 변화 혼란 계시 혁신 붕괴,재난 피하기 두려움 변화 내부 변형,"붕괴,계시,변화"
17_the_star.jpg,The Star,별,Major,17,희망 영감 평온 소원 회복 청명함,절망 희망 없음 낙심 비현실적,"희망,영감,회복"
18_the_moon.jpg,The Moon,달,Major,18,환상 두려움 잠재의식 착각 복잡성,공포 해방 억압된 감정 혼돈 명확성,"환상,직관,신비"
19_the_sun.jpg,The Sun,태양,Major,19,긍정 재미 따뜻함 성공 활력 기쁨,내면 아이 과도한 낙관 슬픔 부정적,"기쁨,성공,활력"
20_judgement.jpg,Judgement,심판,Major,20,성찰 재탄생 내면의 부름 용서 변형,자기 의심 내면 비판 의심 자기 혐오,"심판,재탄생,반성"
21_the_world.jpg,The World,세계,Major,21,완성 통합 성취 여행 마무리,미완성 지름길 지연 통합 부족,"완성,성취,통합"
wands01.jpg,Ace of Wands,완드 에이스,Minor,1,창의성 열정 새 프로젝트 영감 잠재력,창의성 지연 에너지 부족 장애물,"창의,시작,열정"
wands02.jpg,Two of Wands,완드 2,Minor,2,계획 미래 진전 결정 발견,두려움 불확실성 망설임 계획 부재,"계획,진전,탐험"
wands03.jpg,Three of Wands,완드 3,Minor,3,확장 선견지명 해외 진출 기다림 리더십,지연 좌절 협력 부재 역할 부재,"확장,전망,기다림"
wands04.jpg,Four of Wands,완드 4,Minor,4,축하 조화 집 완성 안정 비전,불안정 긴장 전환 기반 부재,"축하,안정,조화"
wands05.jpg,Five of Wands,완드 5,Minor,5,갈등 경쟁 긴장 다양성 혼돈,충돌 회피 논쟁 내부 갈등,"갈등,경쟁,긴장"
wands06.jpg,Six of Wands,완드 6,Minor,6,승리 성공 발전 인정 자신감,자존심 자아도취 실패 인정 부재,"승리,인정,성공"
wands07.jpg,Seven of Wands,완드 7,Minor,7,방어 도전 인내 용기 입장 고수,방어적 우유부단 압도 포기,"도전,방어,인내"
wands08.jpg,Eight of Wands,완드 8,Minor,8,빠른 변화 행동 뉴스 공중 이동 결론,지연 좌절 잘못된 방향 느린 속도,"속도,행동,변화"
wands09.jpg,Nine of Wands,완드 9,Minor,9,용기 인내 마지막 장애물 회복력 방어,피로 낙담 방어적 경직 포기,"인내,경계,용기"
wands10.jpg,Ten of Wands,완드 10,Minor,10,부담 여분의 책임 어려움 완성 분투,포기 역할 위임 부담 해소 탈진,"부담,책임,완성"
wands11.jpg,Page of Wands,완드 시종,Minor,11,탐험 흥분 호기심 자유 영감,지연 좌절 아이디어 없음 청소년기,"탐험,열정,호기심"
wands12.jpg,Knight of Wands,완드 기사,Minor,12,에너지 열정 모험 충동 행동,충동적 위험 무모함 조급성,"에너지,행동,모험"
wands13.jpg,Queen of Wands,완드 여왕,Minor,13,용기 독립 사회적 자신감 결단력 활력,내성적 자기 비판 악의 질투심,"용기,자신감,독립"
wands14.jpg,King of Wands,완드 왕,Minor,14,리더십 비전 기업가정신 명예 경험,충동 과대망상 독단적 기대치 높음,"리더십,비전,열정"
cups01.jpg,Ace of Cups,컵 에이스,Minor,1,사랑 새로운 관계 연민 창의성 압도적인 감정,감정 차단 공허함 억압된 감정,"사랑,감정,새시작"
cups02.jpg,Two of Cups,컵 2,Minor,2,통합 파트너십 연결 끌림 결합,자기 사랑 파트너십 해체 불균형,"관계,연결,조화"
cups03.jpg,Three of Cups,컵 3,Minor,3,축하 우정 창의성 공동체 기쁨,자립 자만 삼각관계 과잉 방종,"축하,우정,기쁨"
cups04.jpg,Four of Cups,컵 4,Minor,4,명상 사색 고마움 재평가 철수,현실 인식 새로운 관점 의식 각성,"성찰,권태,재평가"
cups05.jpg,Five of Cups,컵 5,Minor,5,후회 슬픔 실망 비탄 과거 집착,자기 용서 치유 회복 전진,"슬픔,후회,상실"
cups06.jpg,Six of Cups,컵 6,Minor,6,향수 과거 순수 어린 시절 기억 어린이,과거 매달림 순진함 미래 지향,"추억,순수,과거"
cups07.jpg,Seven of Cups,컵 7,Minor,7,선택지 환상 환상적 사고 바람 꿈,통제 명확성 열의 현실 직시,"환상,선택,꿈"
cups08.jpg,Eight of Cups,컵 8,Minor,8,무기력 포기 이탈 목표 포기 변형,두려움 저버림 미지의 두려움 정체,"포기,탈출,변화"
cups09.jpg,Nine of Cups,컵 9,Minor,9,만족 감사 소원 성취 행복,내면 행복 물질주의 탐닉 불만족,"소원,만족,행복"
cups10.jpg,Ten of Cups,컵 10,Minor,10,조화 결혼 행복 일치 가정 조화,부조화 가정 파탄 미완성 가치 불일치,"행복,조화,가정"
cups11.jpg,Page of Cups,컵 시종,Minor,11,창의적 기회 직관 호기심 소식 예술,메시지 차단 창의성 부족 감정 미성숙,"직관,창의,감수성"
cups12.jpg,Knight of Cups,컵 기사,Minor,12,낭만 매력 상상력 아름다움 감수성,기분 변화 비현실적 실망 유혹,"낭만,감성,이상"
cups13.jpg,Queen of Cups,컵 여왕,Minor,13,동정 창의성 아름다움 관계 직관,내면 감정 외면 자아 의존 불안정,"공감,직관,감성"
cups14.jpg,King of Cups,컵 왕,Minor,14,감정 균형 연민 외교 배려,조작 냉담 감정 불안정 우울,"감성,균형,지혜"
swords01.jpg,Ace of Swords,소드 에이스,Minor,1,돌파구 명확성 진실 직접적 소통,혼돈 파괴 잔인성 복잡성,"명확,진실,돌파"
swords02.jpg,Two of Swords,소드 2,Minor,2,어려운 결정 우유부단 정보 차단 합의,혼란 정보 과부하 의사 결정 불명확,"결정,갈등,교착"
swords03.jpg,Three of Swords,소드 3,Minor,3,슬픔 상실 비탄 상처 비통,회복 용서 낙관주의 치유 극복,"슬픔,고통,상처"
swords04.jpg,Four of Swords,소드 4,Minor,4,휴식 회복 수동적 관조 명상 은퇴,회복 재활성화 활동 재개 부진,"휴식,회복,성찰"
swords05.jpg,Five of Swords,소드 5,Minor,5,갈등 패배 긴장 손실 비통,갈등 화해 과거 극복 협상,"갈등,패배,손실"
swords06.jpg,Six of Swords,소드 6,Minor,6,전환 변화 희망 이주 새 지평,이행 저항 묶여 있음 변화 두려움,"전환,이동,희망"
swords07.jpg,Seven of Swords,소드 7,Minor,7,배신 속임 전략적 행동 술책 회피,영향에서 벗어남 고백 경략 불명예,"속임,전략,회피"
swords08.jpg,Eight of Swords,소드 8,Minor,8,제한 제약 공포 무력함 자아 억압,자유 힘 회복 억압에서 해방,"제약,두려움,속박"
swords09.jpg,Nine of Swords,소드 9,Minor,9,불안 후회 공포 악몽 부정적 사고,희망 도달 위기 완화 공포 극복,"불안,악몽,걱정"
swords10.jpg,Ten of Swords,소드 10,Minor,10,고통 종말 외상 결론 종말 다음,회복 재생 두려움 극복 불가피한 실패,"종말,고통,변화"
swords11.jpg,Page of Swords,소드 시종,Minor,11,호기심 민첩성 정신 에너지 집중 진실 탐구,조작 순진 전술 부족 냉정함 부족,"호기심,민첩,탐구"
swords12.jpg,Knight of Swords,소드 기사,Minor,12,야망 행동 충동 용기 목표 추구,무모함 폭군 갈등 조급함,"야망,행동,용기"
swords13.jpg,Queen of Swords,소드 여왕,Minor,13,독립 명석함 솔직함 날카로운 정신 공정,냉담 독설 비통함 상실,"명석,독립,솔직"
swords14.jpg,King of Swords,소드 왕,Minor,14,지능 권위 진실 윤리 높은 기준,조종 독단 냉담 불의,"지성,권위,진실"
pentacles01.jpg,Ace of Pentacles,펜타클 에이스,Minor,1,새로운 금전 기회 번영 풍요 시작,기회 손실 계획 부족 재정 불안정,"풍요,기회,물질"
pentacles02.jpg,Two of Pentacles,펜타클 2,Minor,2,균형 적응 변화 우선순위 시간 관리,균형 불균형 과부하 혼란 조직 부족,"균형,적응,관리"
pentacles03.jpg,Three of Pentacles,펜타클 3,Minor,3,팀워크 초기 구현 공동 작업 기술 발전,배움 지식 야망 공통 목표,"협력,기술,성장"
pentacles04.jpg,Four of Pentacles,펜타클 4,Minor,4,보안 저장 보수주의 물질주의 소유욕,탐욕 물질주의 집착 인색 금전 의존,"안정,소유,보수"
pentacles05.jpg,Five of Pentacles,펜타클 5,Minor,5,재정 손실 가난 절망 고립 고통,회복 정신 충만 고립 종료,"빈곤,고통,도움"
pentacles06.jpg,Six of Pentacles,펜타클 6,Minor,6,관대함 베풀기 나눔 풍요 받는 것,빚 이기심 자선 규모 불균형,"나눔,관대,균형"
pentacles07.jpg,Seven of Pentacles,펜타클 7,Minor,7,비전 장기 투자 지속성 이익 수확,지체 계획 부재 이익 없음 투자 고민,"인내,투자,성장"
pentacles08.jpg,Eight of Pentacles,펜타클 8,Minor,8,야망 집중 기술 반복 발전,자기 계발 부족 일 없음 동기 부재,"기술,집중,발전"
pentacles09.jpg,Nine of Pentacles,펜타클 9,Minor,9,풍요 사치 자기 충족 은퇴 독립,재정 문제 자기 의존 낭비 버는 것에 집중,"풍요,독립,성취"
pentacles10.jpg,Ten of Pentacles,펜타클 10,Minor,10,부유함 재정 안정 가족 지속성 은퇴,재정 실패 부정 손실 불안정 가족 분쟁,"풍요,가족,안정"
pentacles11.jpg,Page of Pentacles,펜타클 시종,Minor,11,개선 기술 배움 새 기회 완벽주의,비능률 공부 부족 미래 계획 부재,"배움,열망,기회"
pentacles12.jpg,Knight of Pentacles,펜타클 기사,Minor,12,효율성 일 루틴 신뢰 방법론,지루함 정체 안주 집착,"성실,신뢰,책임"
pentacles13.jpg,Queen of Pentacles,펜타클 여왕,Minor,13,현실적 안정 실용적 너그러운 자기 충족,안정 불균형 조직 부족 독립 불가능,"현실,풍요,보호"
pentacles14.jpg,King of Pentacles,펜타클 왕,Minor,14,부유함 사업 리더십 안정성 절제,물질적 불안정 욕심 신뢰 없음 비즈니스 실패,"성공,부유,리더십"
